,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
3975,Essendon,33 Deakin St,4,t,1250000,PI,Frank,6/8/16,8,3040,3,3,2,374,267,2015,Moonee Valley,-37.7507,144.8911,Western Metropolitan,9264
3980,Essendon,45 Ogilvie St,2,h,1130000,SP,Barry,7/5/16,8,3040,2,1,1,646,100,1950,Moonee Valley,-37.7502,144.8923,Western Metropolitan,9264
3982,Essendon,65 Napier St,3,h,1467000,S,Greg,7/11/16,8,3040,3,2,2,188,171,1900,Moonee Valley,-37.7532,144.9178,Western Metropolitan,9264
3989,Essendon,59 Hedderwick St,5,h,2800000,PI,Nelson,8/10/16,8,3040,5,4,6,877,378,2005,Moonee Valley,-37.7491,144.9002,Western Metropolitan,9264
3996,Essendon,22 Nimmo St,4,h,1160000,S,Nelson,10/9/16,8,3040,4,3,2,256,217,2015,Moonee Valley,-37.7527,144.8957,Western Metropolitan,9264
4003,Essendon,8 Monica St,6,h,2620000,S,Brad,10/12/16,8,3040,6,4,2,860,355,1930,Moonee Valley,-37.7484,144.9025,Western Metropolitan,9264
4004,Essendon,82 Price St,3,h,1226000,S,Nelson,10/12/16,8,3040,3,1,3,533,125,1955,Moonee Valley,-37.7462,144.8953,Western Metropolitan,9264
4006,Essendon,26 Bradshaw St,4,h,1402000,S,Nelson,11/2/17,8,3040,4,2,1,554,193,1940,Moonee Valley,-37.7508,144.8937,Western Metropolitan,9264
4011,Essendon,62 Mary St,3,h,855000,S,Nelson,12/6/16,8,3040,3,1,2,396,116,1950,Moonee Valley,-37.7484,144.8907,Western Metropolitan,9264
4015,Essendon,74 Forrester St,4,h,1275000,S,Brad,12/11/16,8,3040,4,2,2,503,160,2008,Moonee Valley,-37.7513,144.8925,Western Metropolitan,9264
4017,Essendon,125a Ogilvie St,4,h,1590000,S,Nelson,12/11/16,8,3040,4,3,1,475,272,2007,Moonee Valley,-37.7418,144.8938,Western Metropolitan,9264
4019,Essendon,18 Vanberg Rd,3,h,1385000,S,McDonald,12/11/16,8,3040,3,2,1,619,137,1930,Moonee Valley,-37.7543,144.9318,Western Metropolitan,9264
4020,Essendon,159 Cooper St,3,t,650000,S,Barry,13/08/2016,8,3040,3,2,1,160,129,1985,Moonee Valley,-37.7403,144.8989,Western Metropolitan,9264
4024,Essendon,54 Ogilvie St,3,t,1000000,VB,Brad,14/05/2016,8,3040,3,2,1,291,224,2013,Moonee Valley,-37.7499,144.8927,Western Metropolitan,9264
4031,Essendon,124c Hoffmans Rd,3,t,720000,S,Frank,15/10/2016,8,3040,3,1,2,190,142,1999,Moonee Valley,-37.7418,144.8918,Western Metropolitan,9264
4033,Essendon,33 McCarron Pde,4,h,1635000,VB,Nelson,15/10/2016,8,3040,4,1,2,638,227,1900,Moonee Valley,-37.7523,144.9052,Western Metropolitan,9264
4041,Essendon,2 Cooke St,5,h,1575000,PI,Brad,16/04/2016,8,3040,5,3,2,700,454,1988,Moonee Valley,-37.7461,144.9173,Western Metropolitan,9264
4043,Essendon,211 Napier St,4,h,1467000,S,Brad,16/04/2016,8,3040,3,2,1,683,145,1920,Moonee Valley,-37.7439,144.9195,Western Metropolitan,9264
4046,Essendon,20 Warner St,2,h,890000,PI,Nelson,16/04/2016,8,3040,2,1,1,649,108,1950,Moonee Valley,-37.7445,144.9133,Western Metropolitan,9264
4047,Essendon,11 McPhail St,2,h,870000,PI,Nelson,16/07/2016,8,3040,3,1,2,319,120,1920,Moonee Valley,-37.7555,144.9118,Western Metropolitan,9264
4050,Essendon,49 Albion St,3,h,1134000,S,Barry,17/09/2016,8,3040,3,1,1,551,114,1950,Moonee Valley,-37.7571,144.9335,Western Metropolitan,9264
4054,Essendon,2 McHale Ct,2,h,1065000,VB,Nelson,17/09/2016,8,3040,2,1,2,477,143,1960,Moonee Valley,-37.7503,144.911,Western Metropolitan,9264
4056,Essendon,37 Woodland St,4,h,1610000,S,Hodges,17/09/2016,8,3040,4,2,2,601,250,2010,Moonee Valley,-37.7434,144.9256,Western Metropolitan,9264
4058,Essendon,24A Daisy St,2,h,930000,S,Barry,18/03/2017,8,3040,2,1,2,225,107,1990,Moonee Valley,-37.7548,144.9113,Western Metropolitan,9264
4063,Essendon,101 McCracken St,3,h,1470000,S,Nelson,18/03/2017,8,3040,3,1,1,687,120,2016,Moonee Valley,-37.7442,144.9045,Western Metropolitan,9264
4070,Essendon,1/247 Keilor Rd,3,t,750000,VB,Brad,18/06/2016,8,3040,3,1,1,253,145,1997,Moonee Valley,-37.7397,144.898,Western Metropolitan,9264
4076,Essendon,55 Lincoln Rd,4,h,1600000,SP,Brad,19/11/2016,8,3040,4,3,1,519,218,1930,Moonee Valley,-37.7517,144.9086,Western Metropolitan,9264
4077,Essendon,33 McCarron Pde,4,h,1535000,SP,Nelson,19/11/2016,8,3040,4,1,2,638,227,1900,Moonee Valley,-37.7523,144.9052,Western Metropolitan,9264
4086,Essendon,22 Tweedside St,3,h,1460000,S,Paul,22/08/2016,8,3040,3,2,1,605,138,1920,Moonee Valley,-37.7546,144.9042,Western Metropolitan,9264
4090,Essendon,1/35 William St,2,u,740000,S,Nelson,24/09/2016,8,3040,2,1,1,250,104,1988,Moonee Valley,-37.7457,144.9061,Western Metropolitan,9264
4092,Essendon,1/19 Cameron Rd,2,u,691000,SP,Brad,25/02/2017,8,3040,2,1,1,201,80,1995,Moonee Valley,-37.7454,144.928,Western Metropolitan,9264
4095,Essendon,18 Lorraine St,4,h,2355000,S,McDonald,25/02/2017,8,3040,4,2,3,715,273,1920,Moonee Valley,-37.7582,144.9128,Western Metropolitan,9264
4100,Essendon,31 Graves St,3,h,1625000,S,Nelson,26/07/2016,8,3040,3,2,1,858,165,1938,Moonee Valley,-37.7417,144.8961,Western Metropolitan,9264
4101,Essendon,7 Hilda St,3,h,1150000,S,Paul,26/07/2016,8,3040,3,1,0,300,145,1900,Moonee Valley,-37.7548,144.9315,Western Metropolitan,9264
4108,Essendon,2/67 Nimmo St,2,u,645000,SP,Nelson,27/06/2016,8,3040,2,1,1,170,88,1994,Moonee Valley,-37.7475,144.8959,Western Metropolitan,9264
4113,Essendon,2/7 Graves St,3,u,872000,S,Nelson,27/11/2016,8,3040,3,1,1,862,135,1970,Moonee Valley,-37.7399,144.8964,Western Metropolitan,9264
4116,Essendon,5/8 Violet St,2,u,440000,S,Brad,27/11/2016,8,3040,2,1,1,1011,77,1970,Moonee Valley,-37.7556,144.9132,Western Metropolitan,9264
4117,Essendon,18 Washington St,5,h,1811000,S,Nelson,27/11/2016,8,3040,5,3,2,657,284,1930,Moonee Valley,-37.7548,144.9098,Western Metropolitan,9264
4118,Essendon,31 Elder Pde,3,h,1500000,PI,Red,28/05/2016,8,3040,3,2,3,440,190,1930,Moonee Valley,-37.7524,144.9074,Western Metropolitan,9264
4126,Essendon,38 Alfred Rd,3,h,1290000,S,Nelson,28/08/2016,8,3040,3,1,1,618,132,1960,Moonee Valley,-37.7442,144.9249,Western Metropolitan,9264
4131,Essendon,5 Loeman St,4,h,1270000,PI,Nelson,28/08/2016,8,3040,3,2,2,411,266,1996,Moonee Valley,-37.757,144.9251,Western Metropolitan,9264
4132,Essendon,21 Miller St,3,h,1445000,S,Nelson,28/08/2016,8,3040,3,2,1,400,168,1910,Moonee Valley,-37.7542,144.9117,Western Metropolitan,9264
4133,Essendon,33 Ogilvie St,4,h,1113000,S,Brad,28/08/2016,8,3040,3,1,2,533,127,1950,Moonee Valley,-37.7509,144.8922,Western Metropolitan,9264
4142,Essendon North,4/8 Keam St,2,u,450000,SP,Barry,14/05/2016,9.4,3041,2,1,1,88,59,1960,Moonee Valley,-37.7389,144.8998,Western Metropolitan,1308
4144,Essendon North,64 Kerferd St,5,h,1360000,S,Nelson,18/03/2017,9.4,3041,5,3,2,463,196,1930,Moonee Valley,-37.7379,144.9022,Western Metropolitan,1308
4148,Essendon North,2/26 Renown St,3,u,712000,S,Nelson,22/08/2016,9.4,3041,3,2,2,189,104,2009,Moonee Valley,-37.7374,144.9006,Western Metropolitan,1308
4151,Fairfield,150 Gillies St,3,h,1250000,VB,Jellis,3/9/16,5.8,3078,3,2,0,327,144,1910,Darebin,-37.7723,145.0179,Northern Metropolitan,2970
4153,Fairfield,7 Rathmines St,3,h,1350000,PI,McGrath,3/12/16,5.8,3078,3,1,2,309,110,2000,Darebin,-37.7828,145.0154,Northern Metropolitan,2970
4158,Fairfield,229 Rathmines St,2,h,1220000,S,Jellis,7/5/16,5.8,3078,2,1,2,537,92,1950,Darebin,-37.7689,145.0177,Northern Metropolitan,2970
4159,Fairfield,197 Station St,4,h,1160000,PI,Nelson,7/5/16,5.8,3078,4,2,1,381,145,1890,Darebin,-37.7735,145.0192,Northern Metropolitan,2970
4163,Fairfield,3/260 Rathmines St,3,t,846000,SP,Love,8/10/16,5.8,3078,3,1,1,185,107,1990,Darebin,-37.7665,145.0175,Northern Metropolitan,2970
4170,Fairfield,88 Perry St,4,h,1730000,S,Jellis,15/10/2016,5.8,3078,4,2,2,490,226,2007,Darebin,-37.7749,145.0242,Northern Metropolitan,2970
4175,Fairfield,1/72 Rathmines St,2,u,510000,S,hockingstuart,18/03/2017,5.8,3078,2,1,1,1658,68,1970,Darebin,-37.7781,145.0157,Northern Metropolitan,2970
4182,Fairfield,52 Rayment St,3,h,1350000,VB,Nelson,19/11/2016,5.8,3078,3,1,4,553,109,1930,Darebin,-37.7728,145.0214,Northern Metropolitan,2970
4183,Fairfield,254 Rathmines St,4,h,2000000,VB,Nelson,22/05/2016,5.8,3078,4,3,2,575,280,2015,Darebin,-37.7671,145.0176,Northern Metropolitan,2970
4186,Fairfield,4/224 Arthur St,2,t,805000,S,McGrath,24/09/2016,5.8,3078,2,1,1,140,2,2008,Darebin,-37.7697,145.0203,Northern Metropolitan,2970
4189,Fairfield,225 Gillies St,3,h,1055000,S,Collins,27/06/2016,5.8,3078,3,1,2,382,140,1950,Darebin,-37.7696,145.0188,Northern Metropolitan,2970
4198,Fairfield,147 Gillies St,3,h,1375000,S,McGrath,28/08/2016,5.8,3078,3,1,1,496,122,1910,Darebin,-37.7737,145.018,Northern Metropolitan,2970
4207,Fitzroy,199 Moor St,1,h,947500,S,Nelson,7/11/16,1.6,3065,1,1,0,87,66,1980,Yarra,-37.8019,144.9821,Northern Metropolitan,5825
4214,Fitzroy,52 Nicholson St,4,h,3310000,S,Caine,13/08/2016,1.6,3065,4,4,2,337,291,1854,Yarra,-37.8052,144.9739,Northern Metropolitan,5825
4219,Fitzroy,431 George St,3,h,1250000,PI,Nelson,17/09/2016,1.6,3065,3,1,1,113,105,1890,Yarra,-37.7966,144.9821,Northern Metropolitan,5825
4223,Fitzroy,31 Bell St,4,h,1950000,S,Nelson,18/06/2016,1.6,3065,4,1,0,177,152,1890,Yarra,-37.7999,144.9759,Northern Metropolitan,5825
4229,Fitzroy,60 Bell St,4,h,1620000,S,Nelson,22/05/2016,1.6,3065,3,2,1,132,165,1880,Yarra,-37.8004,144.9768,Northern Metropolitan,5825
4232,Fitzroy,10/5 St David St,3,u,850000,VB,Nelson,22/05/2016,1.6,3065,3,2,1,2782,115,2000,Yarra,-37.8005,144.9787,Northern Metropolitan,5825
4234,Fitzroy,84 Kerr St,2,h,1122000,S,Nelson,22/08/2016,1.6,3065,2,1,0,106,101,1890,Yarra,-37.7968,144.9781,Northern Metropolitan,5825
4237,Fitzroy,107 Cecil St,2,h,1300000,S,Nelson,24/09/2016,1.6,3065,2,1,1,157,110,1900,Yarra,-37.7941,144.98,Northern Metropolitan,5825
4240,Fitzroy,8/98 George St,1,u,420000,S,Caine,25/02/2017,1.6,3065,1,1,1,782,42,1975,Yarra,-37.8055,144.9809,Northern Metropolitan,5825
4244,Fitzroy,116 Leicester St,2,h,800000,VB,Harrington,27/06/2016,1.6,3065,2,2,1,64,138,1995,Yarra,-37.7956,144.9804,Northern Metropolitan,5825
4247,Fitzroy,17 Bell St,4,h,4011000,S,Nelson,27/11/2016,1.6,3065,4,3,2,286,275,1890,Yarra,-37.7999,144.9755,Northern Metropolitan,5825
4251,Fitzroy North,233/4 Bik La,2,u,700000,SP,Woodards,3/9/16,3.5,3068,2,2,1,4332,85,2010,Yarra,-37.7846,144.9785,Northern Metropolitan,6244
4252,Fitzroy North,470 Brunswick St,2,h,860000,S,Woodards,3/9/16,3.5,3068,2,1,0,104,70,1880,Yarra,-37.7927,144.9796,Northern Metropolitan,6244
4253,Fitzroy North,50 Freeman St,2,h,870000,S,Nelson,3/9/16,3.5,3068,2,1,0,107,64,1910,Yarra,-37.7898,144.9794,Northern Metropolitan,6244
4255,Fitzroy North,2 Pilkington St,4,h,1450000,VB,Nelson,3/9/16,3.5,3068,4,2,1,266,175,1950,Yarra,-37.7797,144.9861,Northern Metropolitan,6244
4263,Fitzroy North,51 Rae St,2,h,770000,SA,Nicholson,4/6/16,3.5,3068,2,2,1,134,151,1905,Yarra,-37.7916,144.9784,Northern Metropolitan,6244
4265,Fitzroy North,92 Scotchmer St,2,h,1008000,S,LITTLE,6/8/16,3.5,3068,2,1,1,150,77,1890,Yarra,-37.7833,144.9819,Northern Metropolitan,6244
4266,Fitzroy North,5/35 Jamieson St,3,t,1015000,S,Collins,8/10/16,3.5,3068,3,2,1,112,145,2000,Yarra,-37.7912,144.9825,Northern Metropolitan,6244
4267,Fitzroy North,780 Brunswick St,3,h,1371000,S,Nelson,10/9/16,3.5,3068,2,1,1,197,128,1900,Yarra,-37.7835,144.9816,Northern Metropolitan,6244
4271,Fitzroy North,201A Clauscen St,3,h,1286000,S,Holland,10/12/16,3.5,3068,3,1,0,275,116,1915,Yarra,-37.7779,144.9862,Northern Metropolitan,6244
4274,Fitzroy North,26 Scotchmer St,3,t,1600000,VB,Jellis,10/12/16,3.5,3068,3,3,1,188,129,2000,Yarra,-37.7829,144.9788,Northern Metropolitan,6244
4280,Fitzroy North,74 Barkly St,4,h,1950000,S,Nelson,14/05/2016,3.5,3068,4,2,2,233,216,1890,Yarra,-37.7786,144.9818,Northern Metropolitan,6244
4281,Fitzroy North,79 Delbridge St,4,h,3400000,S,Nelson,14/05/2016,3.5,3068,3,2,1,445,175,1890,Yarra,-37.786,144.9864,Northern Metropolitan,6244
4282,Fitzroy North,70 Park St,4,h,1785000,S,Nelson,14/05/2016,3.5,3068,4,2,1,188,165,1900,Yarra,-37.7815,144.9869,Northern Metropolitan,6244
4287,Fitzroy North,2 Scotchmer St,2,h,1210000,S,Nelson,15/10/2016,3.5,3068,2,1,1,223,118,1885,Yarra,-37.7829,144.9782,Northern Metropolitan,6244
4288,Fitzroy North,111 Best St,3,h,1275000,SP,Nelson,16/04/2016,3.5,3068,3,2,1,104,110,1890,Yarra,-37.7813,144.9834,Northern Metropolitan,6244
4294,Fitzroy North,35 Birkenhead St,2,h,1290000,S,Chambers,18/03/2017,3.5,3068,2,1,0,136,92,1890,Yarra,-37.7819,144.9824,Northern Metropolitan,6244
4298,Fitzroy North,44 Reid St,4,t,1700000,VB,Jellis,18/03/2017,3.5,3068,4,3,2,127,209,2008,Yarra,-37.7855,144.9789,Northern Metropolitan,6244
4301,Fitzroy North,3 Curtain Pl,3,t,1080000,S,Jellis,19/11/2016,3.5,3068,3,2,1,77,133,2016,Yarra,-37.7923,144.9776,Northern Metropolitan,6244
4304,Fitzroy North,273 Glenlyon Rd,2,h,1222500,S,Chambers,19/11/2016,3.5,3068,2,1,2,487,105,1940,Moreland,-37.7737,144.9822,Northern Metropolitan,6244
4309,Fitzroy North,181 Rae St,2,h,937500,S,Jellis,23/04/2016,3.5,3068,2,1,0,100,72,1890,Yarra,-37.788,144.9791,Northern Metropolitan,6244
4313,Fitzroy North,191 Scotchmer St,3,h,1300000,VB,Nelson,26/07/2016,3.5,3068,3,1,1,203,110,1890,Yarra,-37.7834,144.9862,Northern Metropolitan,6244
4316,Fitzroy North,717 Brunswick St,3,h,1300000,S,Collins,27/11/2016,3.5,3068,3,2,0,127,135,1890,Yarra,-37.7851,144.9809,Northern Metropolitan,6244
4318,Fitzroy North,205 Scotchmer St,3,h,2150000,S,Nelson,27/11/2016,3.5,3068,3,2,0,202,307,1898,Yarra,-37.7835,144.9867,Northern Metropolitan,6244
4321,Fitzroy North,168 Scotchmer St,3,h,1581000,S,Jellis,28/05/2016,3.5,3068,3,1,0,193,132,1910,Yarra,-37.7836,144.985,Northern Metropolitan,6244
4326,Fitzroy North,55 Seacombe St,3,h,1450000,S,Nelson,28/08/2016,3.5,3068,3,2,1,118,103,1905,Yarra,-37.7839,144.9807,Northern Metropolitan,6244
4342,Flemington,11 Finsbury St,3,h,1130000,S,Nelson,8/10/16,4.4,3031,3,1,0,294,140,1900,Moonee Valley,-37.7856,144.9292,Northern Metropolitan,3593
4343,Flemington,43 Finsbury St,3,h,1110000,PI,Nelson,8/10/16,4.4,3031,3,1,1,272,131,1885,Moonee Valley,-37.7857,144.931,Northern Metropolitan,3593
4345,Flemington,107 Shields St,2,h,918000,S,Nelson,10/9/16,4.4,3031,2,1,0,136,78,1900,Moonee Valley,-37.7839,144.9343,Northern Metropolitan,3593
4346,Flemington,59 Victoria St,2,h,730000,SP,Nelson,10/9/16,4.4,3031,2,1,1,140,98,1890,Moonee Valley,-37.7867,144.9342,Northern Metropolitan,3593
4348,Flemington,21 Wisewould St,2,h,855000,SP,Nelson,10/12/16,4.4,3031,2,1,0,225,85,1930,Moonee Valley,-37.7849,144.9197,Northern Metropolitan,3593
4354,Flemington,61 Canterbury St,3,h,1012000,S,Australian,13/08/2016,4.4,3031,3,1,1,212,102,1930,Moonee Valley,-37.7818,144.9247,Northern Metropolitan,3593
4366,Flemington,29 Finsbury St,3,h,1100000,VB,Nelson,18/06/2016,4.4,3031,3,2,0,179,150,1900,Moonee Valley,-37.7857,144.9305,Northern Metropolitan,3593
4370,Flemington,8/300 Racecourse Rd,1,u,395000,SP,Nelson,25/02/2017,4.4,3031,1,1,1,818,50,1880,Moonee Valley,-37.788,144.9306,Northern Metropolitan,3593
4373,Flemington,4 Farnham St,3,h,1115000,S,Nelson,27/11/2016,4.4,3031,3,1,1,244,84,1940,Moonee Valley,-37.7823,144.9278,Northern Metropolitan,3593
4379,Footscray,4 Adelaide St,4,h,1225000,SP,Nelson,3/12/16,6.4,3011,4,2,1,319,130,1915,Maribyrnong,-37.7943,144.8875,Western Metropolitan,7570
4381,Footscray,9 Lynch St,3,h,1003000,S,Naison,3/12/16,6.4,3011,3,1,1,292,98,1900,Maribyrnong,-37.797,144.9051,Western Metropolitan,7570
4382,Footscray,25 Southampton St,3,h,840000,S,Sweeney,3/12/16,6.4,3011,3,1,0,164,93,1900,Maribyrnong,-37.7959,144.8863,Western Metropolitan,7570
4383,Footscray,37 Stirling St,3,h,1362000,S,Village,3/12/16,6.4,3011,3,2,0,497,156,1890,Maribyrnong,-37.7958,144.9024,Western Metropolitan,7570
4384,Footscray,58 Wolverhampton St,4,h,977000,S,Village,3/12/16,6.4,3011,4,2,1,154,161,2007,Maribyrnong,-37.7983,144.8911,Western Metropolitan,7570
4386,Footscray,8 Buckingham St,3,h,876000,S,Jas,4/3/17,6.4,3011,3,2,2,204,106,1990,Maribyrnong,-37.8012,144.8921,Western Metropolitan,7570
4388,Footscray,1/15 Geelong Rd,4,t,841000,S,Jellis,4/3/17,6.4,3011,4,2,2,250,160,2000,Maribyrnong,-37.7959,144.8989,Western Metropolitan,7570
4389,Footscray,9/55 Moreland St,2,u,605000,SP,Jas,4/3/17,6.4,3011,2,1,3,2794,87,2000,Maribyrnong,-37.8044,144.9064,Western Metropolitan,7570
4390,Footscray,1/30 Pickett St,2,u,305000,PI,Burnham,4/3/17,6.4,3011,2,1,1,47,35,2013,Maribyrnong,-37.8014,144.8959,Western Metropolitan,7570
4392,Footscray,5/28 Eleanor St,2,t,480000,PI,Jas,6/8/16,6.4,3011,2,1,1,556,75,2010,Maribyrnong,-37.7919,144.8854,Western Metropolitan,7570
4394,Footscray,8 McCubbin St,3,h,910000,S,Village,6/8/16,6.4,3011,3,1,1,361,118,1940,Maribyrnong,-37.7913,144.8879,Western Metropolitan,7570
4395,Footscray,6/114 Commercial Rd,1,u,291000,PI,Sweeney,7/5/16,6.4,3011,1,1,1,665,46,1970,Maribyrnong,-37.7978,144.8918,Western Metropolitan,7570
4398,Footscray,8 Jerrold St,2,h,752000,SP,Jas,7/5/16,6.4,3011,2,1,0,215,98,1910,Maribyrnong,-37.7922,144.891,Western Metropolitan,7570
4400,Footscray,32 Commercial Rd,3,h,1155000,S,Burnham,7/11/16,6.4,3011,3,1,3,585,120,1950,Maribyrnong,-37.7941,144.8924,Western Metropolitan,7570
4406,Footscray,3 Park St,4,h,775000,S,Sweeney,8/10/16,6.4,3011,2,1,2,277,87,1890,Maribyrnong,-37.7901,144.8883,Western Metropolitan,7570
4412,Footscray,2/10 Swan St,3,t,714000,S,Jas,10/12/16,6.4,3011,3,2,2,164,3,2008,Maribyrnong,-37.7948,144.8868,Western Metropolitan,7570
4414,Footscray,211A Ballarat Rd,2,h,950000,PI,Burnham,11/2/17,6.4,3011,2,1,2,657,92,1940,Maribyrnong,-37.7909,144.8884,Western Metropolitan,7570
4417,Footscray,120 MacPherson St,3,h,760000,S,Biggin,12/6/16,6.4,3011,3,1,1,265,115,1910,Maribyrnong,-37.7975,144.8894,Western Metropolitan,7570
4422,Footscray,36 Windsor St,3,h,932000,S,Jas,13/08/2016,6.4,3011,2,1,1,451,130,1910,Maribyrnong,-37.8023,144.8915,Western Metropolitan,7570
4423,Footscray,95 Gordon St,3,h,780000,S,Jas,14/05/2016,6.4,3011,3,1,2,323,129,1900,Maribyrnong,-37.7935,144.8893,Western Metropolitan,7570
4426,Footscray,9/6 Rosamond Rd,2,t,410000,SP,Rendina,15/10/2016,6.4,3011,2,2,1,65,80,2014,Maribyrnong,-37.7881,144.8838,Western Metropolitan,7570
4427,Footscray,53 Ryan St,2,h,1170000,S,Sweeney,15/10/2016,6.4,3011,2,1,1,184,103,1900,Maribyrnong,-37.7988,144.902,Western Metropolitan,7570
4430,Footscray,2 Buckingham St,3,h,747000,S,Jas,16/07/2016,6.4,3011,3,1,1,246,120,1940,Maribyrnong,-37.8012,144.8924,Western Metropolitan,7570
4433,Footscray,88 Eleanor St,3,h,775000,SP,Sweeney,16/07/2016,6.4,3011,3,1,1,242,99,1920,Maribyrnong,-37.7956,144.8848,Western Metropolitan,7570
4439,Footscray,8/33 Gordon St,1,u,305000,S,Burnham,17/09/2016,6.4,3011,1,1,1,59,70,1965,Maribyrnong,-37.7903,144.8899,Western Metropolitan,7570
4440,Footscray,31 Southampton St,3,h,860500,S,Burnham,17/09/2016,6.4,3011,3,2,2,322,228,1980,Maribyrnong,-37.7963,144.8862,Western Metropolitan,7570
4448,Footscray,167 Gordon St,2,h,711000,SP,Jas,18/06/2016,6.4,3011,2,1,2,253,90,1910,Maribyrnong,-37.7968,144.8887,Western Metropolitan,7570
4450,Footscray,224 Ballarat Rd,2,h,690500,SP,Rendina,19/11/2016,6.4,3011,2,1,1,212,98,1900,Maribyrnong,-37.7903,144.8879,Western Metropolitan,7570
4451,Footscray,7 Essex St,2,h,747000,S,Sweeney,19/11/2016,6.4,3011,2,1,1,320,94,1900,Maribyrnong,-37.7964,144.8871,Western Metropolitan,7570
4455,Footscray,51 Lynch St,2,h,858000,SP,Jas,22/05/2016,6.4,3011,2,1,1,313,93,1915,Maribyrnong,-37.7966,144.9016,Western Metropolitan,7570
4457,Footscray,35 Leander St,2,h,835000,SP,Jas,22/08/2016,6.4,3011,2,1,1,222,109,1920,Maribyrnong,-37.7962,144.8844,Western Metropolitan,7570
4458,Footscray,49 MacPherson St,2,h,661000,S,Sweeney,22/08/2016,6.4,3011,2,1,1,132,83,1970,Maribyrnong,-37.7946,144.8903,Western Metropolitan,7570
4459,Footscray,69 MacPherson St,2,h,757500,S,Sweeney,22/08/2016,6.4,3011,2,1,0,258,108,1900,Maribyrnong,-37.7959,144.8901,Western Metropolitan,7570
4464,Footscray,4/11 Nicholson St,1,u,282000,PI,Sweeney,24/09/2016,6.4,3011,1,1,1,1783,42,1975,Maribyrnong,-37.7949,144.9007,Western Metropolitan,7570
4465,Footscray,2/25 Stanlake St,3,t,699000,S,Jas,24/09/2016,6.4,3011,3,1,1,125,113,2000,Maribyrnong,-37.7922,144.8831,Western Metropolitan,7570
4467,Footscray,24 Dudley St,3,h,850000,SP,Village,25/02/2017,6.4,3011,3,1,0,190,99,1930,Maribyrnong,-37.795,144.883,Western Metropolitan,7570
4468,Footscray,12/14 Eldridge St,2,u,315000,PI,C21,25/02/2017,6.4,3011,2,1,1,882,74,1970,Maribyrnong,-37.7899,144.893,Western Metropolitan,7570
4470,Footscray,65 Hyde St,3,h,740000,SP,Jas,25/02/2017,6.4,3011,3,1,1,211,94,1910,Maribyrnong,-37.8059,144.901,Western Metropolitan,7570
4477,Footscray,62 Moore St,3,h,980000,S,GL,26/07/2016,6.4,3011,3,2,2,196,154,2006,Maribyrnong,-37.7987,144.9034,Western Metropolitan,7570
4481,Footscray,20 Ryan St,2,h,760000,PI,Burnham,27/06/2016,6.4,3011,2,1,0,130,70,1920,Maribyrnong,-37.7988,144.9045,Western Metropolitan,7570
4482,Footscray,39 Warleigh Rd,3,t,735000,S,Jas,27/06/2016,6.4,3011,3,2,2,112,168,2010,Maribyrnong,-37.8001,144.8797,Western Metropolitan,7570
4484,Footscray,4 Adelaide St,4,h,1225000,SP,Nelson,27/11/2016,6.4,3011,4,2,1,319,130,1915,Maribyrnong,-37.7943,144.8875,Western Metropolitan,7570
4490,Footscray,8 Dudley St,3,h,767500,S,Sweeney,28/05/2016,6.4,3011,3,2,0,458,98,1930,Maribyrnong,-37.7942,144.8832,Western Metropolitan,7570
4493,Footscray,12 Tait St,4,h,815000,PI,Biggin,28/05/2016,6.4,3011,4,2,1,369,151,1910,Maribyrnong,-37.7914,144.8957,Western Metropolitan,7570
4496,Footscray,20 McDougall Dr,3,t,757000,S,Jas,28/08/2016,6.4,3011,3,2,2,102,102,2011,Maribyrnong,-37.7987,144.8807,Western Metropolitan,7570
4497,Footscray,20 Nicholson St,4,h,1450000,SP,Village,28/08/2016,6.4,3011,4,1,1,799,160,1910,Maribyrnong,-37.7958,144.9001,Western Metropolitan,7570
4498,Footscray,119 Droop St,2,h,745000,S,Village,30/07/2016,6.4,3011,2,1,1,355,74,1890,Maribyrnong,-37.7931,144.8938,Western Metropolitan,7570
4499,Footscray,1a Leander St,2,h,716000,S,Ray,30/07/2016,6.4,3011,2,1,2,274,275,2000,Maribyrnong,-37.7939,144.8846,Western Metropolitan,7570
4500,Glen Iris,6 Beatrice St,3,h,1735000,S,hockingstuart,3/9/16,9.2,3146,3,2,3,680,170,1935,Boroondara,-37.854,145.0832,Southern Metropolitan,10412
4504,Glen Iris,11 Vincent St,4,h,3400000,VB,Kay,3/9/16,9.2,3146,4,3,2,856,265,1920,Stonnington,-37.8628,145.0436,Southern Metropolitan,10412
4505,Glen Iris,2 Vincent St,5,h,3730000,PI,Abercromby's,3/9/16,9.2,3146,4,3,2,919,353,1925,Stonnington,-37.8637,145.0438,Southern Metropolitan,10412
4506,Glen Iris,28 Alfred Rd,4,h,1800000,VB,Marshall,3/12/16,9.2,3146,4,2,2,868,217,1930,Boroondara,-37.8522,145.0893,Southern Metropolitan,10412
4512,Glen Iris,62 Staughton Rd,4,h,1998000,S,J,3/12/16,9.2,3146,4,2,1,739,183,2002,Boroondara,-37.8513,145.0601,Southern Metropolitan,10412
